序号,task_id,model,prompt,vendor,domain,level,得分,未命中,标签,题目,参考答案,模型输出(归一化前),模型命令,未命中的检查点,verdict,判定理由,人工复核
46,hw_acl_023,deepseek-r1:8b,few_shot,huawei,acl,2,1.0,,E0_FORMAT|E1_HALLUC,创建高级 ACL 3000，拒绝源网段 192.168.1.0/24 访问 Telnet 服务（TCP 23 端口）。,system-view / acl number 3000 / rule 5 deny tcp source 192.168.1.0 0.0.0.255 destination-port eq 23,"```
system-view
acl number 3000
rule 5 deny tcp source 192.168.1.0 0.0.0.255 destination-port eq 23
`高亮",``` / system-view / acl number 3000 / rule 5 deny tcp source 192.168.1.0 0.0.0.255 destination-port eq 23,,模型真错,代码块围栏未闭合(结尾为 `高亮)，按 D1 格式不合规判失败。内容本身完全正确,
47,cs_mpls_035,qwen2.5:7b,zero_shot,cisco,mpls,2,0.4,c1|c3,E3_MISS,全局启用 MPLS 转发，并把标签分发协议指定为 LDP。,configure terminal / mpls ip / mpls label protocol ldp,"```markdown
mpls
mpls ldp
mpls ip
router mpls ldp
```",mpls / mpls ldp / mpls ip / router mpls ldp,c1: ^configure terminal$ ⏎ c3: ^mpls label protocol ldp$,模型真错,未写 mpls label protocol ldp,
48,hw_diag_044,qwen2.5:1.5b,few_shot,huawei,diagnose,3,0.0,c1|c2|c3,E1_HALLUC|E2_VENDOR|E3_MISS,已应用的 ACL 没有起到过滤效果，请给出定位该问题最关键的三条查看命令。,display acl 3000 / display traffic-filter applied-record / display current-configuration interface GigabitEthernet0/0/1,"```
acl number 3000
traffic-filter outbound
show traffic-filter summary
```",acl number 3000 / traffic-filter outbound / show traffic-filter summary,c1: ^display acl ⏎ c2: ^display traffic-filter ⏎ c3: ^display (current-configuration|this|interface),模型真错,给的是配置命令与思科 show，非华为 display 查看命令,
49,cs_iface_003,qwen2.5-coder:7b,zero_shot,cisco,interface,1,0.7778,c1,E3_MISS,把 GigabitEthernet0/2 的接口描述配置为 To-Server，并确保该接口处于开启状态。,configure terminal / interface GigabitEthernet0/2 / description To-Server / no shutdown,"```
interface GigabitEthernet0/2
 description To-Server
 no shutdown
```",interface GigabitEthernet0/2 / description To-Server / no shutdown,c1: ^configure terminal$,模型真错,缺 configure terminal，按 D4 判失败,
50,hw_vlan_015,qwen2.5:1.5b,few_shot,huawei,vlan,2,0.2,c1|c3|c4,E1_HALLUC|E2_VENDOR|E3_MISS,把 GigabitEthernet0/0/24 这个 trunk 口的 PVID 修改为 VLAN 10。,system-view / interface GigabitEthernet0/0/24 / port link-type trunk / port trunk pvid vlan 10,"```
interface GigabitEthernet0/0/24
switchport mode access
switchport access vlan 10
```",interface GigabitEthernet0/0/24 / switchport mode access / switchport access vlan 10,c1: ^system-view$ ⏎ c3: ^port link-type trunk$ ⏎ c4: ^port trunk pvid vlan 10$,模型真错,思科 switchport 语法，且未配 trunk 与 pvid,
51,cs_diag_033,llama3.1:8b,few_shot,cisco,diagnose,3,0.0,c1|c2|c3,E3_MISS,VLAN 10 与 VLAN 20 的用户之间无法互通，请给出定位该问题最关键的三条查看命令。,show ip route / show ip interface brief / show arp,"```
show ip int brief
show vlan
show run | i interface Vlan 10
```",show ip int brief / show vlan / show run | i interface Vlan 10,c1: ^show ip route ⏎ c2: ^show (ip interface brief|interfaces? vlan) ⏎ c3: ^show (arp|ip arp|mac address-table),评分器误判,show ip int brief 是思科合法缩写；归一化只展开首 token，int 在第三位未被展开,
52,hw_diag_044,qwen2.5:1.5b,syntax_hint,huawei,diagnose,3,0.6667,c2,E1_HALLUC|E2_VENDOR|E3_MISS,已应用的 ACL 没有起到过滤效果，请给出定位该问题最关键的三条查看命令。,display acl 3000 / display traffic-filter applied-record / display current-configuration interface GigabitEthernet0/0/1,"```shell
display acl 3000
show access-list
display interface
```",display acl 3000 / show access-list / display interface,c2: ^display traffic-filter,模型真错,未查 traffic-filter，且混用了思科 show,
53,hw_route_020,llama3.1:8b,zero_shot,huawei,routing,2,0.0,c1|c2|c3,E1_HALLUC|E3_MISS,启动 BGP 进程，本端 AS 号 65001，与 10.0.0.2 建立 EBGP 邻居，对端 AS 号 65002。,system-view / bgp 65001 / peer 10.0.0.2 as-number 65002,"```bash
bgp enable
network 10.0.0.1/32
neighbor 10.0.0.2 remote-as 65002
```",bgp enable / network 10.0.0.1/32 / neighbor 10.0.0.2 remote-as 65002,c1: ^system-view$ ⏎ c2: ^bgp 65001$ ⏎ c3: ^peer 10\.0\.0\.2 as-number 65002$,模型真错,bgp enable / neighbor remote-as 是思科语法,
54,hw_trunk_006,qwen2.5:1.5b,few_shot,huawei,interface,2,0.1667,c2|c3|c4|c5,E0_FORMAT|E1_HALLUC|E2_VENDOR|E3_MISS,创建 Eth-Trunk 1 并配置为 LACP 静态模式，把 GigabitEthernet0/0/1 和 GigabitEthernet0/0/2 加入该聚合组。,system-view / interface Eth-Trunk 1 / mode lacp-static / quit / interface GigabitEthernet0/0/1 / eth-trunk 1 / quit / interface GigabitEthernet0/0/2 / eth-trunk 1,"```
interface eth-trunk 1
undo port link-type manual
undo port default-vlan 1
channel-group 1 mode static
undo port trunk allow-pass vlan all
undo port trunk allow-pass vlan 1-4094
undo port trunk native vlan 1
undo port trunk native vlan 256
undo port trunk native vlan 32768
undo port trunk native vlan 4096
undo port trunk native vlan 8192
undo port trunk native vlan 16384
undo port trunk native vlan 32768
undo port trunk native vlan 65536
undo port trunk native vlan 131072
undo port trunk native vlan 262144
undo port trunk native vlan 524288
undo port trunk native vlan 1048576
undo port trunk native vlan 2097152
undo port trunk native vlan 4194304
undo port trunk native vlan 8388608
undo port trunk native vlan 16777216
undo port trunk native vlan 33554432
undo port trunk native vlan 6710",``` / interface eth-trunk 1 / undo port link-type manual / undo port default-vlan 1 / channel-group 1 mode static / undo port trunk allow-pass vlan all / undo port trunk allow-pass vlan 1-4094 / undo port trunk native vlan 1 / undo port trunk native vlan 256 / undo port trunk native vlan 32768 / undo port trunk native vlan 4096 / undo port trunk native vlan 8192 / undo port trunk native vlan 16384 / undo port trunk native vlan 32768 / undo port trunk native vlan 65536 / undo port trunk native vlan 131072 / undo port trunk native vlan 262144 / undo port trunk native vlan 524288 / undo port trunk native vlan 1048576 / undo port trunk native vlan 2097152 / undo port trunk native vlan 4194304 / undo port trunk native vlan 8388608 / undo port trunk native vlan 16777216 / undo port trunk native vlan 33554432 / undo port trunk native vlan 67108864 / undo port trunk native vlan 134217728 / undo port trunk native vlan 268435456 / undo port trunk native vlan 536870912 / undo port trunk native vlan 1073741824 / undo port trunk native vlan 2147483648 / undo port trunk native vlan 4294967296 / undo port trunk native vlan 8589934592 / undo port trunk native vlan 17179869104 / undo port trunk native vlan 34576230320 / undo port trunk native vlan 69132460640 / undo port trunk native vlan 138264921280 / undo port trunk native vlan 276529842560 / undo port trunk native vlan 553059687840 / undo port trunk native vlan 1106119375680 / undo port trunk native vlan 2212238751360 / undo port trunk native vlan 4424477502720 / undo port trunk native vlan 8848955005440 / undo port trunk native vlan 17697910010880 / undo port trunk native vlan 35395820021760 / undo port trunk native vlan 70791640043520 / undo port trunk native vlan 141583280087040 / undo port trunk native vlan 283166560174080 / undo port trunk native vlan 566332720348160 / undo port trunk native vlan 113266544069600 / undo port trunk native vlan 226533088139200 / undo port trunk native vlan 45,c2: ^mode lacp-static$ ⏎ c3: ^interface gigabitethernet0/0/1$ ⏎ c4: ^interface gigabitethernet0/0/2$ ⏎ c5: ^eth-trunk 1$,模型真错,输出崩溃，无限重复 undo port trunk native vlan,
55,cs_diag_020,qwen2.5:3b,few_shot,cisco,diagnose,3,0.0,c1|c2|c3,E3_MISS,VLAN 10 的用户跨交换机无法通信，但同交换机内正常，请给出定位该问题最关键的三条查看命令。,show interfaces trunk / show vlan brief / show interfaces GigabitEthernet0/1 switchport,"```
show interfaces vlan 10
show interface trunk
show ip route
```",show interfaces vlan 10 / show interface trunk / show ip route,c1: ^show interfaces trunk ⏎ c2: ^show vlan ⏎ c3: ^show interfaces? \S+ switchport,评分器误判,show interface trunk 是思科合法写法(单复数均可)，正则 ^show interfaces trunk 写死了复数,
56,cs_route_045,qwen2.5:7b,few_shot,cisco,routing,2,0.5,c3,E3_MISS,把 OSPF 进程 1 的 Router ID 指定为 1.1.1.1。,configure terminal / router ospf 1 / router-id 1.1.1.1,"```
configure terminal
router ospf 1
ip router-id 1.1.1.1
```",configure terminal / router ospf 1 / ip router-id 1.1.1.1,c3: ^router-id 1\.1\.1\.1$,模型真错,ip router-id 非思科语法，OSPF 视图下应为 router-id,
57,cs_iface_021,llama3.1:8b,zero_shot,cisco,interface,1,0.5,c3,E3_MISS,清除 GigabitEthernet0/4 上已配置的接口描述，恢复为默认。,configure terminal / interface GigabitEthernet0/4 / no description,"```bash
configure terminal
interface gigabitethernet0/4
description """"
exit
```","configure terminal / interface gigabitethernet0/4 / description """" / exit",c3: ^no description$,模型真错,"description """" 无法清除描述，应为 no description",
58,hw_diag_025,qwen2.5:1.5b,few_shot,huawei,diagnose,3,0.3333,c2|c3,E3_MISS,GigabitEthernet0/0/1 接口状态显示为 down，请给出定位该问题最关键的三条查看命令。,display interface GigabitEthernet0/0/1 / display interface brief / display current-configuration interface GigabitEthernet0/0/1,"```
display interface GigabitEthernet 0/0/1
```",display interface GigabitEthernet 0/0/1,c2: ^display (interface brief|ip interface brief|device) ⏎ c3: ^display (current-configuration|this),模型真错,只给了一条命令，题目要求三条,
59,cs_vlan_013,deepseek-r1:8b,syntax_hint,cisco,vlan,2,0.8,c3,E3_MISS,把 GigabitEthernet0/1 这个 trunk 口的 native VLAN 修改为 VLAN 99。,configure terminal / interface GigabitEthernet0/1 / switchport mode trunk / switchport trunk native vlan 99,"```plaintext
configure terminal
interface GigabitEthernet0/1
switchport trunk native vlan 99
```",configure terminal / interface GigabitEthernet0/1 / switchport trunk native vlan 99,c3: ^switchport mode trunk$,题目有问题,题干已声明该口是 trunk 口，标答仍要求重配 switchport mode trunk。模型只改 native vlan 是正确做法,
60,hw_vlan_005,qwen2.5:3b,few_shot,huawei,vlan,2,1.0,,E0_FORMAT,把 GigabitEthernet0/0/24 配置为 trunk 口，允许 VLAN 10 和 VLAN 20 通过。,system-view / interface GigabitEthernet0/0/24 / port link-type trunk / port trunk allow-pass vlan 10 20,"system-view
interface GigabitEthernet 0/0/24
port link-type trunk
port trunk allow-pass vlan 10 20
quit",system-view / interface GigabitEthernet 0/0/24 / port link-type trunk / port trunk allow-pass vlan 10 20 / quit,,模型真错,未使用代码块，按 D1 格式不合规判失败。内容本身完全正确,
